repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
0,1,0.9119718309859155,0.9202353190587238,0.9693251533742331,0.8876404494382022,0.9275840742449487,breast_cancer,mlp,pca,15.0
1,0,0.9438596491228071,0.9302993570148624,0.9312169312169312,0.9832402234636871,0.9568750929682015,breast_cancer,mlp,pca,15.0
1,1,0.9788732394366197,0.9774220903116387,0.9831460674157303,0.9831460674157303,0.9831460674157303,breast_cancer,mlp,pca,15.0
2,0,0.9052631578947369,0.9111152102877622,0.9578313253012049,0.888268156424581,0.922394202871535,breast_cancer,mlp,pca,15.0
2,1,0.9366197183098591,0.9265422938308248,0.9347826086956522,0.9662921348314607,0.9504067984604507,breast_cancer,mlp,pca,15.0
3,0,0.8807017543859649,0.8915621376620639,0.9559748427672956,0.8491620111731844,0.9009869700030325,breast_cancer,mlp,pca,15.0
3,1,0.9366197183098591,0.9227263090947636,0.925531914893617,0.9775280898876404,0.9511747709522197,breast_cancer,mlp,pca,15.0
4,0,0.9508771929824561,0.9358859491936333,0.9319371727748691,0.994413407821229,0.962668592951042,breast_cancer,mlp,pca,15.0
4,1,0.9859154929577465,0.9868560525757897,0.9943181818181818,0.9831460674157303,0.9887163446684315,breast_cancer,mlp,pca,15.0
0,0,0.9508771929824561,0.9378096342363234,0.9365079365079365,0.9888268156424581,0.9623118832691573,breast_cancer,mlp,pca,21.0
0,1,0.8697183098591549,0.8712635149459402,0.9221556886227545,0.8651685393258427,0.8932077530769452,breast_cancer,mlp,pca,21.0
1,0,0.8982456140350877,0.8805207125540213,0.8947368421052632,0.9497206703910615,0.9218188940935155,breast_cancer,mlp,pca,21.0
1,1,0.9119718309859155,0.8916154335382659,0.8963730569948186,0.9719101123595506,0.9333777576843729,breast_cancer,mlp,pca,21.0
2,0,0.9719298245614035,0.9661115210287763,0.9672131147540983,0.9888268156424581,0.9779602570196391,breast_cancer,mlp,pca,21.0
2,1,0.9330985915492958,0.9218253126987492,0.9297297297297298,0.9662921348314607,0.9478346508525722,breast_cancer,mlp,pca,21.0
3,0,0.9508771929824561,0.9474280594497734,0.9608938547486033,0.9608938547486033,0.9608938547486033,breast_cancer,mlp,pca,21.0
3,1,0.9330985915492958,0.9103773584905661,0.9035532994923858,1.0,0.9505542064987066,breast_cancer,mlp,pca,21.0
4,0,0.9578947368421052,0.9472435965004744,0.946524064171123,0.9888268156424581,0.9674442497132789,breast_cancer,mlp,pca,21.0
4,1,0.9436619718309859,0.9340682637269451,0.9402173913043478,0.9719101123595506,0.9559324193817323,breast_cancer,mlp,pca,21.0
0,0,0.9754385964912281,0.9727521872035416,0.9777777777777777,0.9832402234636871,0.9805051966818175,breast_cancer,svm_rbf,none,
0,1,0.9823943661971831,0.9783230867076531,0.9779005524861878,0.9943820224719101,0.9861068548375544,breast_cancer,svm_rbf,none,
1,0,0.9614035087719298,0.9538842626752397,0.9565217391304348,0.9832402234636871,0.9697889711326291,breast_cancer,svm_rbf,none,
1,1,0.9753521126760564,0.9707971168115328,0.9723756906077348,0.9887640449438202,0.9805356296689807,breast_cancer,svm_rbf,none,
2,0,0.9754385964912281,0.9689048171181617,0.967391304347826,0.994413407821229,0.9808093003500453,breast_cancer,svm_rbf,none,
2,1,0.9436619718309859,0.9455162179351282,0.9709302325581395,0.9382022471910112,0.9544259667736087,breast_cancer,svm_rbf,none,
3,0,0.9578947368421052,0.9530146516285443,0.9613259668508287,0.9720670391061452,0.9666815847074658,breast_cancer,svm_rbf,none,
3,1,0.9859154929577465,0.9849480602077592,0.9887640449438202,0.9887640449438202,0.9887640449438202,breast_cancer,svm_rbf,none,
4,0,0.968421052631579,0.9613945398967008,0.9619565217391305,0.9888268156424581,0.9752991357413373,breast_cancer,svm_rbf,none,
4,1,0.9823943661971831,0.9821390714437142,0.9887005649717514,0.9831460674157303,0.985919404567984,breast_cancer,svm_rbf,none,
0,0,0.968421052631579,0.9652419099820808,0.9722222222222222,0.9776536312849162,0.9749341444279436,breast_cancer,svm_rbf,pca,9.0
0,1,0.9788732394366197,0.9736061055755777,0.9725274725274725,0.9943820224719101,0.9833940385427212,breast_cancer,svm_rbf,pca,9.0
1,0,0.968421052631579,0.9613945398967008,0.9619565217391305,0.9888268156424581,0.9752991357413373,breast_cancer,svm_rbf,pca,9.0
1,1,0.9683098591549296,0.9613631545473817,0.9617486338797814,0.9887640449438202,0.975162791258037,breast_cancer,svm_rbf,pca,9.0
2,0,0.9789473684210527,0.9736217982502371,0.9726775956284153,0.994413407821229,0.9834854562118404,breast_cancer,svm_rbf,pca,9.0
2,1,0.9577464788732394,0.9586601653593385,0.9770114942528736,0.9550561797752809,0.9659714619478612,breast_cancer,svm_rbf,pca,9.0
3,0,0.9578947368421052,0.9530146516285443,0.9613259668508287,0.9720670391061452,0.9666815847074658,breast_cancer,svm_rbf,pca,9.0
3,1,0.9788732394366197,0.9755140979436082,0.9777777777777777,0.9887640449438202,0.98325556729252,breast_cancer,svm_rbf,pca,9.0
4,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,svm_rbf,pca,9.0
4,1,0.9859154929577465,0.9849480602077592,0.9887640449438202,0.9887640449438202,0.9887640449438202,breast_cancer,svm_rbf,pca,9.0
0,0,0.9754385964912281,0.9727521872035416,0.9777777777777777,0.9832402234636871,0.9805051966818175,breast_cancer,svm_rbf,pca,15.0
0,1,0.9823943661971831,0.9783230867076531,0.9779005524861878,0.9943820224719101,0.9861068548375544,breast_cancer,svm_rbf,pca,15.0
1,0,0.9614035087719298,0.9538842626752397,0.9565217391304348,0.9832402234636871,0.9697889711326291,breast_cancer,svm_rbf,pca,15.0
1,1,0.9753521126760564,0.9707971168115328,0.9723756906077348,0.9887640449438202,0.9805356296689807,breast_cancer,svm_rbf,pca,15.0
2,0,0.9754385964912281,0.9689048171181617,0.967391304347826,0.994413407821229,0.9808093003500453,breast_cancer,svm_rbf,pca,15.0
2,1,0.9471830985915493,0.9483252066991732,0.9710982658959537,0.9438202247191011,0.9573620963576156,breast_cancer,svm_rbf,pca,15.0
3,0,0.9578947368421052,0.9530146516285443,0.9613259668508287,0.9720670391061452,0.9666815847074658,breast_cancer,svm_rbf,pca,15.0
3,1,0.9859154929577465,0.9849480602077592,0.9887640449438202,0.9887640449438202,0.9887640449438202,breast_cancer,svm_rbf,pca,15.0
4,0,0.968421052631579,0.9613945398967008,0.9619565217391305,0.9888268156424581,0.9752991357413373,breast_cancer,svm_rbf,pca,15.0
4,1,0.9894366197183099,0.9896650413398347,0.9943502824858758,0.9887640449438202,0.9915532297369439,breast_cancer,svm_rbf,pca,15.0
0,0,0.9754385964912281,0.9727521872035416,0.9777777777777777,0.9832402234636871,0.9805051966818175,breast_cancer,svm_rbf,pca,21.0
0,1,0.9823943661971831,0.9783230867076531,0.9779005524861878,0.9943820224719101,0.9861068548375544,breast_cancer,svm_rbf,pca,21.0
1,0,0.9614035087719298,0.9538842626752397,0.9565217391304348,0.9832402234636871,0.9697889711326291,breast_cancer,svm_rbf,pca,21.0
1,1,0.9753521126760564,0.9707971168115328,0.9723756906077348,0.9887640449438202,0.9805356296689807,breast_cancer,svm_rbf,pca,21.0
2,0,0.9754385964912281,0.9689048171181617,0.967391304347826,0.994413407821229,0.9808093003500453,breast_cancer,svm_rbf,pca,21.0
2,1,0.9436619718309859,0.9455162179351282,0.9709302325581395,0.9382022471910112,0.9544259667736087,breast_cancer,svm_rbf,pca,21.0
3,0,0.9578947368421052,0.9530146516285443,0.9613259668508287,0.9720670391061452,0.9666815847074658,breast_cancer,svm_rbf,pca,21.0
3,1,0.9859154929577465,0.9849480602077592,0.9887640449438202,0.9887640449438202,0.9887640449438202,breast_cancer,svm_rbf,pca,21.0
4,0,0.968421052631579,0.9613945398967008,0.9619565217391305,0.9888268156424581,0.9752991357413373,breast_cancer,svm_rbf,pca,21.0
4,1,0.9823943661971831,0.9802310790756836,0.9832402234636871,0.9887640449438202,0.9859982659738408,breast_cancer,svm_rbf,pca,21.0
