repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
0,0,0.9754385964912281,0.9727521872035416,0.9777777777777777,0.9832402234636871,0.9805051966818175,breast_cancer,svm_rbf,none,
0,1,0.9823943661971831,0.9783230867076531,0.9779005524861878,0.9943820224719101,0.9861068548375544,breast_cancer,svm_rbf,none,
1,0,0.9614035087719298,0.9538842626752397,0.9565217391304348,0.9832402234636871,0.9697889711326291,breast_cancer,svm_rbf,none,
1,1,0.9753521126760564,0.9707971168115328,0.9723756906077348,0.9887640449438202,0.9805356296689807,breast_cancer,svm_rbf,none,
2,0,0.9754385964912281,0.9689048171181617,0.967391304347826,0.994413407821229,0.9808093003500453,breast_cancer,svm_rbf,none,
2,1,0.9436619718309859,0.9455162179351282,0.9709302325581395,0.9382022471910112,0.9544259667736087,breast_cancer,svm_rbf,none,
3,0,0.9578947368421052,0.9530146516285443,0.9613259668508287,0.9720670391061452,0.9666815847074658,breast_cancer,svm_rbf,none,
3,1,0.9859154929577465,0.9849480602077592,0.9887640449438202,0.9887640449438202,0.9887640449438202,breast_cancer,svm_rbf,none,
4,0,0.968421052631579,0.9613945398967008,0.9619565217391305,0.9888268156424581,0.9752991357413373,breast_cancer,svm_rbf,none,
4,1,0.9823943661971831,0.9821390714437142,0.9887005649717514,0.9831460674157303,0.985919404567984,breast_cancer,svm_rbf,none,
0,0,0.9477196885428254,0.9477064241884079,0.9495233797038491,0.9477064241884079,0.9486144669265943,digits,knn,kpca,19.0
0,1,0.9543429844097996,0.9539922658457352,0.9556231174435215,0.9539922658457352,0.9548073434491956,digits,knn,kpca,19.0
1,0,0.9555061179087876,0.9554353240715117,0.9570971799196855,0.9554353240715117,0.9562658909866516,digits,knn,kpca,19.0
1,1,0.9398663697104677,0.9395247655798841,0.9409215457330717,0.9395247655798841,0.9402228962772212,digits,knn,kpca,19.0
2,0,0.9276974416017798,0.927675778524287,0.9319270663830567,0.927675778524287,0.9297989927047442,digits,knn,kpca,19.0
2,1,0.9521158129175946,0.9518075529540584,0.9537488361390624,0.9518075529540584,0.9527777001264787,digits,knn,kpca,19.0
3,0,0.9588431590656284,0.9586156750821611,0.9590969960658926,0.9586156750821611,0.9588563053726968,digits,knn,kpca,19.0
