dataset,reducer,n_components,classifier,accuracy_mean,bac_mean,precision_mean,recall_mean,gmean_pdf_mean,accuracy_std,bac_std,precision_std,recall_std,gmean_pdf_std,n_samples,n_features,n_classes,name
synthetic,ica,2,knn,0.6065,0.6065565389134728,0.6019586821156726,0.6288643216080402,0.6151097286885611,0.034892692644735795,0.034769914850127835,0.03925660440627034,0.01757999102509193,0.02650443185024559,2000,20,2,syn_E1_f20_inf40
synthetic,ica,2,logreg,0.6545,0.6544771119277982,0.6512502748334137,0.6598994974874371,0.6554555862508572,0.0261247009552263,0.026121872380906498,0.024435256663512078,0.040676246370113266,0.030644307662845104,2000,20,2,syn_E1_f20_inf40
synthetic,ica,2,mlp,0.6535,0.6535771144278607,0.6415949688317203,0.692,0.665985743508011,0.022472205054244233,0.02234939891048577,0.020929798190446436,0.048199487300131696,0.027324999998485887,2000,20,2,syn_E1_f20_inf40
synthetic,ica,2,rf,0.614,0.6140342008550214,0.6111949986379075,0.6238743718592964,0.6172672385602227,0.019890324280916086,0.019786845768238855,0.024031752308331926,0.028043298760822608,0.017762586804030804,2000,20,2,syn_E1_f20_inf40
synthetic,ica,2,svm_rbf,0.6565000000000001,0.656667116677917,0.6369914704983568,0.7230904522613066,0.6785226124588606,0.029506355247641156,0.029354645687526035,0.025838776354047424,0.043357451077354094,0.030808610762902085,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,2,knn,0.6515,0.651467236680917,0.6505338220760883,0.6499145728643216,0.6501629105362038,0.024277046772620436,0.0243057706154021,0.02411468111240543,0.0325002384352177,0.0269175172016698,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,2,logreg,0.675,0.6749700492512313,0.6762438482786012,0.6689798994974874,0.6725360094625371,0.023184046238739223,0.02314148992501005,0.02745739346933668,0.019664087737723945,0.021377087092691958,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,2,mlp,0.6715,0.6714098727468187,0.6724032917567853,0.6698844221105528,0.6695952564737053,0.02349201992166701,0.023536938017266883,0.025397455433972246,0.08896911413585867,0.0417618980804806,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,2,rf,0.64,0.6399769869246731,0.6397033971600924,0.6368743718592965,0.6379254289322704,0.015103807466993238,0.015156402995143769,0.014706547900331064,0.04548471789103713,0.024615546154282783,2000,20,2,syn_E1_f20_inf40
synthetic,kpca,2,svm_rbf,0.6835,0.6835875146878673,0.6701747358881216,0.7210904522613066,0.6949300235011339,0.02701851217221256,0.026877697370995025,0.02961169689512912,0.03623956021536289,0.0259600424897922,2000,20,2,syn_E1_f20_inf40
synthetic,none,2,knn,0.925,0.9250013625340634,0.9159619911765622,0.9357738693467337,0.9257154720797335,0.006123724356957962,0.006135567712190335,0.013981399899877015,0.01869873824754492,0.006470218822826593,2000,20,2,syn_E1_f20_inf40
synthetic,none,2,logreg,0.7125,0.71244796119903,0.7136032109682704,0.7060402010050252,0.7096502432200051,0.02263846284534356,0.02271069697184848,0.016447480501899897,0.04499598266622916,0.029456126701351084,2000,20,2,syn_E1_f20_inf40
synthetic,none,2,mlp,0.9460000000000001,0.9460217630440759,0.9379900232490967,0.9548743718592965,0.9463880440872472,0.012942179105544772,0.012950005119156872,0.01389018186257402,0.012718495181975984,0.01272771663847687,2000,20,2,syn_E1_f20_inf40
synthetic,none,2,rf,0.9065000000000001,0.9064935248381211,0.902810663534596,0.9106984924623115,0.9066623176358348,0.008023403267940609,0.00802014807532373,0.012160402349995391,0.01974534219558497,0.008855330687838303,2000,20,2,syn_E1_f20_inf40
synthetic,none,2,svm_rbf,0.923,0.923026338158454,0.9090317739919918,0.9397939698492463,0.9242245775716839,0.0020916500663351973,0.0020839476200038886,0.00928950360703001,0.01472649482247281,0.003039380098742167,2000,20,2,syn_E1_f20_inf40
synthetic,pca,2,knn,0.604,0.6040515387884696,0.5997525421523923,0.622859296482412,0.611132946606588,0.03963111151608042,0.039563038567475,0.04202322631409772,0.027519688850207998,0.034302106108933694,2000,20,2,syn_E1_f20_inf40
synthetic,pca,2,logreg,0.6545,0.6544771119277982,0.6512502748334137,0.6598994974874371,0.6554555862508572,0.0261247009552263,0.026121872380906498,0.024435256663512078,0.040676246370113266,0.030644307662845104,2000,20,2,syn_E1_f20_inf40
synthetic,pca,2,mlp,0.653,0.6530546763669092,0.6415556442489703,0.6889899497487437,0.6646595351727467,0.017888543819998336,0.01782154135536006,0.016473375862441728,0.038436439938600665,0.02266904026021304,2000,20,2,syn_E1_f20_inf40
synthetic,pca,2,rf,0.6170000000000001,0.6170342508562714,0.6122330557720648,0.6348844221105527,0.623319439315257,0.013509256086106284,0.013400632514653031,0.018557069761783333,0.013177722484923165,0.006932158428639435,2000,20,2,syn_E1_f20_inf40
synthetic,pca,2,svm_rbf,0.6555000000000001,0.655669604240106,0.6359146877573378,0.7230904522613066,0.6779430192480314,0.030072828267391147,0.029917333605513182,0.026466150262453313,0.043357451077354094,0.030966398245930043,2000,20,2,syn_E1_f20_inf40
synthetic,ccpca,5,knn,0.8125,0.8125445386134654,0.7946611852751766,0.8414522613065326,0.8175595396812266,0.01677050983124839,0.016739369713430548,0.014526349641385414,0.035943887960825274,0.019691207924978617,2000,20,2,syn_E1_f20_inf40
synthetic,ccpca,5,logreg,0.5015,0.5,0.0,0.0,0.0,0.001369306393762886,0.0,0.0,0.0,0.0,2000,20,2,syn_E1_f20_inf40
synthetic,ccpca,5,mlp,0.8605,0.860515312882822,0.8441772974758941,0.8835778894472363,0.8634453462909522,0.01396424004376893,0.013959889061339064,0.012622951662282694,0.03717677209664216,0.016995923305765232,2000,20,2,syn_E1_f20_inf40
synthetic,ccpca,5,rf,0.8105,0.8104470236755918,0.8051625084761177,0.8193517587939698,0.8116763421821643,0.012424773639789166,0.012463033159114862,0.017731817061507234,0.05241869781682003,0.01969109761435791,2000,20,2,syn_E1_f20_inf40
synthetic,ccpca,5,svm_rbf,0.813,0.8130746893672341,0.788852894515046,0.8555125628140703,0.8211576812180044,0.010810874155219807,0.01071325667823425,0.025908351474422237,0.03188710285684189,0.010232526847641083,2000,20,2,syn_E1_f20_inf40
synthetic,ica,5,knn,0.8515,0.8515577014425361,0.8301061521940062,0.8835979899497488,0.8562912354204293,0.018251712248443963,0.01822589703898598,0.023067419626006676,0.02618398114620718,0.017427819707747667,2000,20,2,syn_E1_f20_inf40
