repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
4,0,0.9614035087719298,0.9519605776325498,0.9516129032258065,0.9888268156424581,0.9700414201574327,breast_cancer,mlp,none,
4,1,0.9436619718309859,0.9283442866228535,0.9263157894736842,0.9887640449438202,0.9570306927655603,breast_cancer,mlp,none,
0,0,0.9508771929824561,0.9358859491936333,0.9319371727748691,0.994413407821229,0.962668592951042,breast_cancer,svm_rbf,ica,9.0
0,1,0.9647887323943662,0.9604621581513674,0.9666666666666667,0.9775280898876404,0.9720822085732868,breast_cancer,svm_rbf,ica,9.0
1,0,0.968421052631579,0.9575471698113207,0.9521276595744681,1.0,0.975770290372928,breast_cancer,svm_rbf,ica,9.0
1,1,0.9330985915492958,0.9256412974348103,0.9392265193370166,0.9550561797752809,0.9471082786575382,breast_cancer,svm_rbf,ica,9.0
2,0,0.9578947368421052,0.9472435965004744,0.946524064171123,0.9888268156424581,0.9674442497132789,breast_cancer,svm_rbf,ica,9.0
2,1,0.9330985915492958,0.9294572821708713,0.9491525423728814,0.9438202247191011,0.9464826283852646,breast_cancer,svm_rbf,ica,9.0
3,0,0.9473684210526315,0.9369400231896279,0.9408602150537635,0.9776536312849162,0.9590805001556538,breast_cancer,svm_rbf,ica,9.0
3,1,0.9612676056338029,0.959561161755353,0.9717514124293786,0.9662921348314607,0.9690179290611044,breast_cancer,svm_rbf,ica,9.0
4,0,0.9473684210526315,0.9388637082323179,0.9456521739130435,0.9720670391061452,0.9587686419152128,breast_cancer,svm_rbf,ica,9.0
4,1,0.954225352112676,0.9424952300190799,0.9411764705882353,0.9887640449438202,0.9646768651029068,breast_cancer,svm_rbf,ica,9.0
0,0,0.9403508771929825,0.925582375882787,0.9263157894736842,0.9832402234636871,0.9543536785909336,breast_cancer,svm_rbf,ica,15.0
0,1,0.954225352112676,0.9501271994912021,0.9608938547486033,0.9662921348314607,0.9635892144744355,breast_cancer,svm_rbf,ica,15.0
1,0,0.9543859649122807,0.9406029303257089,0.9368421052631579,0.994413407821229,0.9651986067567397,breast_cancer,svm_rbf,ica,15.0
1,1,0.9295774647887324,0.9304642781428875,0.9593023255813954,0.9269662921348315,0.9429957156745237,breast_cancer,svm_rbf,ica,15.0
2,0,0.9614035087719298,0.9481132075471699,0.9421052631578948,1.0,0.9706210708396428,breast_cancer,svm_rbf,ica,15.0
2,1,0.9295774647887324,0.9304642781428875,0.9593023255813954,0.9269662921348315,0.9429957156745237,breast_cancer,svm_rbf,ica,15.0
